Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Unnamed: 33_level_0 Matches,team_name,team_url
David Raya,es ESP,GK,28,38,38,3420,38.0,0,0,0,0,0,0,3,0,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
William Saliba,fr FRA,DF,23,35,35,3039,33.8,2,0,2,2,0,0,2,1,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Declan Rice,eng ENG,MF,25,35,33,2825,31.4,4,7,11,4,0,0,7,1,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Thomas Partey,gh GHA,"MF,DF",31,35,31,2797,31.1,4,2,6,4,0,0,4,0,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Leandro Trossard,be BEL,FW,29,38,28,2546,28.3,8,7,15,8,0,0,4,1,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Gabriel Magalhães,br BRA,DF,26,28,28,2363,26.3,3,1,4,3,0,0,4,0,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Jurriën Timber,nl NED,DF,23,30,27,2417,26.9,1,3,4,1,0,0,7,0,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Martin Ødegaard,no NOR,MF,25,30,26,2325,25.8,3,8,11,2,1,1,4,0,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Gabriel Martinelli,br BRA,"FW,MF",23,33,25,2290,25.4,8,4,12,8,0,0,1,0,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Kai Havertz,de GER,"FW,MF",25,23,21,1875,20.8,9,3,12,9,0,0,5,0,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Bukayo Saka,eng ENG,"FW,MF",22,25,20,1729,19.2,6,10,16,5,1,1,3,0,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Mikel Merino,es ESP,"MF,FW",28,28,17,1586,17.6,7,2,9,7,0,0,4,1,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Myles Lewis-Skelly,eng ENG,DF,17,23,15,1369,15.2,1,0,1,1,0,0,3,2,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Ben White,eng ENG,DF,26,17,13,1198,13.3,0,2,2,0,0,0,2,0,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Riccardo Calafiori,it ITA,DF,22,19,11,983,10.9,2,1,3,2,0,0,4,0,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Ethan Nwaneri,eng ENG,"FW,MF",17,26,11,895,9.9,4,2,6,4,0,0,1,0,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Jakub Kiwior,pl POL,DF,24,17,10,1122,12.5,1,0,1,1,0,0,1,0,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Jorginho,it ITA,MF,32,15,9,704,7.8,0,0,0,0,0,0,5,0,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Raheem Sterling,eng ENG,"FW,MF",29,17,7,499,5.5,0,2,2,0,0,0,1,0,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Gabriel Jesus,br BRA,FW,27,17,6,608,6.8,3,0,3,3,0,0,4,0,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Oleksandr Zinchenko,ua UKR,"DF,MF",27,15,5,527,5.9,0,1,1,0,0,0,1,0,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Kieran Tierney,sct SCO,"DF,FW",27,13,2,259,2.9,1,0,1,1,0,0,0,0,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Nathan Butler-Oyedeji,eng ENG,FW,21,1,0,7,0.1,0,0,0,0,0,0,0,0,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Takehiro Tomiyasu,jp JPN,DF,25,1,0,7,0.1,0,0,0,0,0,0,0,0,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Reiss Nelson,eng ENG,FW,24,1,0,3,0.0,0,0,0,0,0,0,0,0,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Brayden Clarke,wls WAL,DF,17,0,0,,,,,,,,,,,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Jimi Gower,eng ENG,MF,19,0,0,,,,,,,,,,,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Ayden Heaven,eng ENG,DF,17,0,0,,,,,,,,,,,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Jack Henry-Francis,ie IRL,MF,20,0,0,,,,,,,,,,,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Ismeal Kabia,eng ENG,MF,18,0,0,,,,,,,,,,,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Maldini Kacurri,al ALB,DF,18,0,0,,,,,,,,,,,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Neto,br BRA,GK,35,0,0,,,,,,,,,,,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Josh Nichols,eng ENG,DF,18,0,0,,,,,,,,,,,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Eddie Nketiah,eng ENG,FW,25,0,0,,,,,,,,,,,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Salah Oulad M'Hand,nl NED,MF,20,0,0,,,,,,,,,,,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Jack Porter,eng ENG,GK,16,0,0,,,,,,,,,,,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Aaron Ramsdale,eng ENG,GK,26,0,0,,,,,,,,,,,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Tommy Setford,eng ENG,GK,18,0,0,,,,,,,,,,,Matches,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Squad Total,,,25.8,38,418,3420,38.0,67,55,122,65,2,2,70,6,,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
Opponent Total,,,26.1,38,418,3420,38.0,34,24,58,31,3,3,83,2,,Arsenal,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
