Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Unnamed: 33_level_0 Matches,team_name,team_url
Milos Kerkez,hu HUN,DF,20,38,38,3336,37.1,2,5,7,2,0,0,4,0,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Antoine Semenyo,gh GHA,FW,24,37,36,3203,35.6,11,5,16,11,0,0,9,0,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Illia Zabarnyi,ua UKR,DF,21,36,35,3109,34.5,0,1,1,0,0,0,4,1,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Lewis Cook,eng ENG,"MF,DF",27,36,32,2978,33.1,1,3,4,1,0,0,8,1,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Kepa Arrizabalaga,es ESP,GK,29,31,31,2790,31.0,0,0,0,0,0,0,3,0,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Justin Kluivert,nl NED,MF,25,34,29,2340,26.0,12,6,18,6,6,6,8,0,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Evanilson,br BRA,FW,24,31,28,2319,25.8,10,1,11,10,0,1,1,1,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Ryan Christie,sct SCO,MF,29,29,27,2117,23.5,2,3,5,2,0,0,9,0,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Dean Huijsen,es ESP,DF,19,32,26,2427,27.0,3,2,5,3,0,0,10,0,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Dango Ouattara,bf BFA,FW,22,32,21,2005,22.3,7,4,11,7,0,0,3,0,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Tyler Adams,us USA,MF,25,28,21,1965,21.8,0,3,3,0,0,0,7,0,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Marcus Tavernier,eng ENG,"FW,MF",25,29,20,1939,21.5,3,5,8,3,0,0,6,0,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Adam Smith,eng ENG,DF,33,25,19,1590,17.7,0,0,0,0,0,0,7,0,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Marcos Senesi,ar ARG,DF,27,17,13,1106,12.3,0,0,0,0,0,0,5,0,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
David Brooks,wls WAL,"FW,MF",27,29,9,960,10.7,2,0,2,2,0,0,3,0,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Alex Scott,eng ENG,MF,20,20,8,755,8.4,0,0,0,0,0,0,3,0,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Julian Araujo,mx MEX,DF,22,12,7,497,5.5,0,0,0,0,0,0,2,0,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
James Hill,eng ENG,DF,22,10,6,448,5.0,0,1,1,0,0,0,1,0,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Mark Travers,ie IRL,GK,25,5,5,450,5.0,0,0,0,0,0,0,0,0,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Enes Ünal,tr TUR,"FW,MF",27,17,2,345,3.8,2,1,3,2,0,0,2,0,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Neto,br BRA,GK,35,2,2,180,2.0,0,0,0,0,0,0,0,0,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Luis Sinisterra,co COL,"FW,MF",25,12,1,236,2.6,1,1,2,1,0,0,0,0,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Philip Billing,dk DEN,MF,28,10,1,184,2.0,0,0,0,0,0,0,1,0,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Max Aarons,eng ENG,DF,24,3,1,86,1.0,0,0,0,0,0,0,0,0,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Daniel Jebbison,ca CAN,FW,20,16,0,119,1.3,1,0,1,1,0,0,1,0,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Ben Winterburn,eng ENG,"MF,FW",19,4,0,24,0.3,0,0,0,0,0,0,0,0,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Julio Soler,ar ARG,"DF,FW",19,3,0,11,0.1,0,0,0,0,0,0,0,0,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Remy Rees-Dottin,eng ENG,FW,18,1,0,1,0.0,0,0,0,0,0,0,0,0,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Zain Silcott-Duberry,ms MSR,FW,19,1,0,1,0.0,0,0,0,0,0,0,0,0,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Daniel Adu-Adjei,eng ENG,FW,19,0,0,,,,,,,,,,,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Matai Akinmboni,us USA,DF,17,0,0,,,,,,,,,,,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Jaidon Anthony,eng ENG,"FW,MF",24,0,0,,,,,,,,,,,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Will Dennis,eng ENG,GK,24,0,0,,,,,,,,,,,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Archie Harris,wls WAL,DF,19,0,0,,,,,,,,,,,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Hamed Junior Traorè,ci CIV,"FW,MF",24,0,0,,,,,,,,,,,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Callan Mckenna,sct SCO,GK,17,0,0,,,,,,,,,,,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Dominic Sadi,eng ENG,MF,20,0,0,,,,,,,,,,,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Maxwell Wellings,eng ENG,DF,19,0,0,,,,,,,,,,,Matches,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Squad Total,,,25.1,38,418,3420,38.0,57,41,98,51,6,7,97,3,,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
Opponent Total,,,26.4,38,418,3420,38.0,46,36,82,42,4,4,94,5,,Bournemouth,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
