Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Unnamed: 33_level_0 Matches,team_name,team_url
Nathan Collins,ie IRL,DF,23.0,38,38,3420.0,38.0,2.0,3.0,5.0,2.0,0.0,0.0,5.0,0.0,Matches,Brentford,https://fbref.com/en/squads/cd051869/2024-2025/Brentford-Stats
Bryan Mbeumo,cm CMR,FW,24.0,38,38,3414.0,37.9,20.0,7.0,27.0,15.0,5.0,6.0,3.0,0.0,Matches,Brentford,https://fbref.com/en/squads/cd051869/2024-2025/Brentford-Stats
Mark Flekken,nl NED,GK,31.0,37,37,3275.0,36.4,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,Matches,Brentford,https://fbref.com/en/squads/cd051869/2024-2025/Brentford-Stats
Keane Lewis-Potter,eng ENG,"DF,FW",23.0,38,36,3093.0,34.4,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,Matches,Brentford,https://fbref.com/en/squads/cd051869/2024-2025/Brentford-Stats
Yoane Wissa,cd COD,FW,27.0,35,34,2919.0,32.4,19.0,4.0,23.0,19.0,0.0,0.0,5.0,0.0,Matches,Brentford,https://fbref.com/en/squads/cd051869/2024-2025/Brentford-Stats
Mikkel Damsgaard,dk DEN,"MF,FW",24.0,38,34,2911.0,32.3,2.0,10.0,12.0,2.0,0.0,0.0,2.0,0.0,Matches,Brentford,https://fbref.com/en/squads/cd051869/2024-2025/Brentford-Stats
Christian Nørgaard,dk DEN,MF,30.0,34,34,2819.0,31.3,5.0,4.0,9.0,5.0,0.0,0.0,8.0,1.0,Matches,Brentford,https://fbref.com/en/squads/cd051869/2024-2025/Brentford-Stats
Sepp van den Berg,nl NED,DF,22.0,31,29,2586.0,28.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Matches,Brentford,https://fbref.com/en/squads/cd051869/2024-2025/Brentford-Stats
Vitaly Janelt,de GER,MF,26.0,32,27,2254.0,25.0,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,Matches,Brentford,https://fbref.com/en/squads/cd051869/2024-2025/Brentford-Stats
Kevin Schade,de GER,FW,22.0,38,26,2293.0,25.5,11.0,2.0,13.0,11.0,0.0,0.0,3.0,0.0,Matches,Brentford,https://fbref.com/en/squads/cd051869/2024-2025/Brentford-Stats
Ethan Pinnock,jm JAM,DF,31.0,22,21,1913.0,21.3,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,Matches,Brentford,https://fbref.com/en/squads/cd051869/2024-2025/Brentford-Stats
Kristoffer Ajer,no NOR,DF,26.0,24,17,1438.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,Matches,Brentford,https://fbref.com/en/squads/cd051869/2024-2025/Brentford-Stats
Yehor Yarmoliuk,ua UKR,MF,20.0,31,15,1450.0,16.1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,Matches,Brentford,https://fbref.com/en/squads/cd051869/2024-2025/Brentford-Stats
Mads Roerslev,dk DEN,DF,25.0,19,11,1101.0,12.2,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,Matches,Brentford,https://fbref.com/en/squads/cd051869/2024-2025/Brentford-Stats
