Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Unnamed: 33_level_0 Matches,team_name,team_url
Jordan Pickford,eng ENG,GK,30.0,38,38,3420.0,38.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,Matches,Everton,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
Vitaliy Mykolenko,ua UKR,DF,25.0,35,35,3082.0,34.2,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,Matches,Everton,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
Idrissa Gana Gueye,sn SEN,MF,34.0,37,35,3063.0,34.0,0.0,3.0,3.0,0.0,0.0,0.0,9.0,0.0,Matches,Everton,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
James Tarkowski,eng ENG,DF,31.0,33,33,2922.0,32.5,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,Matches,Everton,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
Abdoulaye Doucouré,ml MLI,MF,31.0,33,31,2564.0,28.5,3.0,2.0,5.0,3.0,0.0,0.0,5.0,1.0,Matches,Everton,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
Iliman Ndiaye,sn SEN,FW,24.0,33,29,2430.0,27.0,9.0,0.0,9.0,7.0,2.0,2.0,3.0,0.0,Matches,Everton,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
Jarrad Branthwaite,eng ENG,DF,22.0,30,28,2511.0,27.9,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,Matches,Everton,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
Jack Harrison,eng ENG,FW,27.0,34,24,2076.0,23.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Matches,Everton,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
Ashley Young,eng ENG,DF,39.0,32,19,1875.0,20.8,1.0,3.0,4.0,1.0,0.0,0.0,7.0,1.0,Matches,Everton,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
Dominic Calvert-Lewin,eng ENG,FW,27.0,26,19,1609.0,17.9,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,Matches,Everton,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
James Garner,eng ENG,"MF,DF",23.0,21,17,1594.0,17.7,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,Matches,Everton,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
Jake O'Brien,ie IRL,DF,23.0,20,17,1571.0,17.5,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,Matches,Everton,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
Beto,gw GNB,FW,26.0,30,15,1534.0,17.0,8.0,0.0,8.0,8.0,0.0,0.0,2.0,0.0,Matches,Everton,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
Dwight McNeil,eng ENG,"MF,FW",24.0,21,15,1371.0,15.2,4.0,6.0,10.0,4.0,0.0,0.0,1.0,0.0,Matches,Everton,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
Jesper Lindstrøm,dk DEN,FW,24.0,25,15,1239.0,13.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,Matches,Everton,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
Orel Mangala,be BEL,MF,26.0,19,14,1261.0,14.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,Matches,Everton,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
Michael Keane,eng ENG,DF,31.0,14,11,1049.0,11.7,3.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,Matches,Everton,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
Carlos Alcaraz,ar ARG,"FW,MF",21.0,15,7,764.0,8.5,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,Matches,Everton,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
Tim Iroegbunam,eng ENG,MF,21.0,18,5,574.0,6.4,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,Matches,Everton,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
Armando Broja,al ALB,FW,22.0,10,4,334.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Matches,Everton,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
Nathan Patterson,sct SCO,DF,22.0,10,3,347.0,3.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Matches,Everton,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
Séamus Coleman,ie IRL,DF,35.0,5,3,215.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Matches,Everton,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
Roman Dixon,eng ENG,DF,19.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Everton,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
Harrison Armstrong,eng ENG,MF,17.0,3,0,48.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Matches,Everton,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
Youssef Chermiti,pt POR,"FW,MF",20.0,4,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Matches,Everton,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
Mason Holgate,jm JAM,"FW,DF",27.0,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Everton,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
Callum Bates,eng ENG,MF,18.0,0,0,,,,,,,,,,,Matches,Everton,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
Asmir Begović,ba BIH,GK,37.0,0,0,,,,,,,,,,,Matches,Everton,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
Coby Ebere,de GER,MF,18.0,0,0,,,,,,,,,,,Matches,Everton,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
Isaac Heath,eng ENG,MF,19.0,0,0,,,,,,,,,,,Matches,Everton,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
Neal Maupay,fr FRA,"FW,MF",27.0,0,0,,,,,,,,,,,Matches,Everton,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
Jenson Metcalfe,eng ENG,MF,19.0,0,0,,,,,,,,,,,Matches,Everton,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
Martin Sherif,nl NED,FW,18.0,0,0,,,,,,,,,,,Matches,Everton,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
João Virgínia,pt POR,GK,24.0,0,0,,,,,,,,,,,Matches,Everton,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
Reece Welch,eng ENG,DF,20.0,0,0,,,,,,,,,,,Matches,Everton,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
Squad Total,,,28.0,38,418,3420.0,38.0,39.0,27.0,66.0,37.0,2.0,2.0,82.0,2.0,,Everton,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
Opponent Total,,,26.2,38,418,3420.0,38.0,44.0,35.0,79.0,44.0,0.0,2.0,46.0,2.0,,Everton,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
