Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Unnamed: 33_level_0 Matches,team_name,team_url
Dara O'Shea,ie IRL,DF,25.0,35,35,3122.0,34.7,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,Matches,Ipswich Town,https://fbref.com/en/squads/b74092de/2024-2025/Ipswich-Town-Stats
Leif Davis,eng ENG,DF,24.0,33,32,2743.0,30.5,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,Matches,Ipswich Town,https://fbref.com/en/squads/b74092de/2024-2025/Ipswich-Town-Stats
Liam Delap,eng ENG,FW,21.0,37,32,2593.0,28.8,12.0,2.0,14.0,10.0,2.0,2.0,12.0,0.0,Matches,Ipswich Town,https://fbref.com/en/squads/b74092de/2024-2025/Ipswich-Town-Stats
Sam Morsy,eg EGY,MF,32.0,33,31,2751.0,30.6,1.0,1.0,2.0,1.0,0.0,0.0,10.0,0.0,Matches,Ipswich Town,https://fbref.com/en/squads/b74092de/2024-2025/Ipswich-Town-Stats
Omari Hutchinson,eng ENG,"MF,FW",20.0,31,30,2583.0,28.7,3.0,2.0,5.0,3.0,0.0,0.0,5.0,0.0,Matches,Ipswich Town,https://fbref.com/en/squads/b74092de/2024-2025/Ipswich-Town-Stats
Jacob Greaves,eng ENG,DF,23.0,25,25,2205.0,24.5,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,Matches,Ipswich Town,https://fbref.com/en/squads/b74092de/2024-2025/Ipswich-Town-Stats
Jens Cajuste,se SWE,MF,24.0,30,25,1959.0,21.8,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,Matches,Ipswich Town,https://fbref.com/en/squads/b74092de/2024-2025/Ipswich-Town-Stats
Axel Tuanzebe,cd COD,DF,26.0,22,20,1710.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,Matches,Ipswich Town,https://fbref.com/en/squads/b74092de/2024-2025/Ipswich-Town-Stats
Arijanet Muric,xk KVX,GK,25.0,18,18,1620.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Matches,Ipswich Town,https://fbref.com/en/squads/b74092de/2024-2025/Ipswich-Town-Stats
Cameron Burgess,au AUS,DF,28.0,18,16,1541.0,17.1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Matches,Ipswich Town,https://fbref.com/en/squads/b74092de/2024-2025/Ipswich-Town-Stats
Ben Johnson,eng ENG,"DF,FW",24.0,23,14,1354.0,15.0,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,Matches,Ipswich Town,https://fbref.com/en/squads/b74092de/2024-2025/Ipswich-Town-Stats
