Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Unnamed: 33_level_0 Matches,team_name,team_url
Joško Gvardiol,hr CRO,DF,22.0,37,36,3277.0,36.4,5.0,0.0,5.0,5.0,0.0,0.0,2.0,0.0,Matches,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
Erling Haaland,no NOR,FW,24.0,31,31,2736.0,30.4,22.0,3.0,25.0,19.0,3.0,4.0,2.0,0.0,Matches,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
Bernardo Silva,pt POR,"MF,FW",29.0,33,29,2670.0,29.7,4.0,4.0,8.0,4.0,0.0,0.0,7.0,0.0,Matches,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
Ederson,br BRA,GK,30.0,26,26,2320.0,25.8,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,Matches,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
Rúben Dias,pt POR,DF,27.0,27,25,2271.0,25.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,Matches,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
İlkay Gündoğan,de GER,MF,33.0,33,25,2223.0,24.7,1.0,6.0,7.0,1.0,0.0,0.0,1.0,0.0,Matches,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
Mateo Kovačić,hr CRO,MF,30.0,31,25,2198.0,24.4,6.0,2.0,8.0,6.0,0.0,0.0,5.0,1.0,Matches,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
Manuel Akanji,ch SUI,DF,29.0,26,23,2014.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Matches,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
Rico Lewis,eng ENG,"DF,MF",19.0,28,21,1893.0,21.0,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,Matches,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
Sávio,br BRA,"FW,MF",20.0,29,21,1766.0,19.6,1.0,8.0,9.0,1.0,0.0,0.0,3.0,0.0,Matches,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
Phil Foden,eng ENG,"MF,FW",24.0,28,20,1777.0,19.7,7.0,2.0,9.0,7.0,0.0,0.0,2.0,0.0,Matches,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
Kevin De Bruyne,be BEL,"MF,FW",33.0,28,19,1702.0,18.9,4.0,7.0,11.0,4.0,0.0,0.0,2.0,0.0,Matches,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
Matheus Nunes,pt POR,"DF,MF",25.0,26,19,1674.0,18.6,1.0,6.0,7.0,1.0,0.0,0.0,4.0,0.0,Matches,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
Jeremy Doku,be BEL,"FW,MF",22.0,29,16,1516.0,16.8,3.0,6.0,9.0,3.0,0.0,0.0,1.0,0.0,Matches,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
Omar Marmoush,eg EGY,"FW,MF",25.0,16,14,1175.0,13.1,7.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,Matches,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
Stefan Ortega,de GER,GK,31.0,13,12,1100.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Matches,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
Kyle Walker,eng ENG,DF,34.0,15,9,970.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Matches,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
Nicolás González,es ESP,MF,22.0,11,9,760.0,8.4,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,Matches,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
Nathan Aké,nl NED,DF,29.0,10,8,678.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
Jack Grealish,eng ENG,"FW,MF",28.0,20,7,721.0,8.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,Matches,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
John Stones,eng ENG,"DF,MF",30.0,11,6,548.0,6.1,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,Matches,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
Nico O’Reilly,eng ENG,DF,19.0,9,6,528.0,5.9,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,Matches,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
Abdukodir Khusanov,uz UZB,DF,20.0,6,6,503.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Matches,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
James Mcatee,eng ENG,"MF,FW",21.0,15,3,349.0,3.9,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,Matches,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
Jahmai Simpson-Pusey,eng ENG,DF,18.0,2,1,96.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Matches,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
Rodri,es ESP,MF,28.0,3,1,73.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
Divin Mubama,eng ENG,FW,19.0,1,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
Oscar Bobb,no NOR,FW,21.0,3,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
Claudio Echeverri,ar ARG,FW,18.0,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
Vitor Reis,br BRA,DF,18.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
Max Alleyne,eng ENG,DF,19.0,0,0,,,,,,,,,,,Matches,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
Thorsten Brits,eng ENG,GK,17.0,0,0,,,,,,,,,,,Matches,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
Scott Carson,eng ENG,GK,38.0,0,0,,,,,,,,,,,Matches,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
Issa Kaboré,bf BFA,"DF,MF",23.0,0,0,,,,,,,,,,,Matches,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
Josh Wilson-Esbrand,eng ENG,DF,21.0,0,0,,,,,,,,,,,Matches,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
Jacob Wright,eng ENG,MF,18.0,0,0,,,,,,,,,,,Matches,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
Squad Total,,,26.8,38,418,3420.0,38.0,71.0,51.0,122.0,68.0,3.0,4.0,59.0,2.0,,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
Opponent Total,,,26.2,38,418,3420.0,38.0,42.0,32.0,74.0,38.0,4.0,4.0,88.0,2.0,,Manchester City,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
