Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Unnamed: 33_level_0 Matches,team_name,team_url
Bruno Fernandes,pt POR,MF,29,36,35,3018,33.5,8,10,18,5,3,3,5,2,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
André Onana,cm CMR,GK,28,34,34,3060,34.0,0,0,0,0,0,0,0,0,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Noussair Mazraoui,ma MAR,DF,26,37,34,2838,31.5,0,1,1,0,0,0,3,0,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Diogo Dalot,pt POR,DF,25,33,31,2814,31.3,0,3,3,0,0,0,5,0,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Matthijs de Ligt,nl NED,DF,24,29,25,2123,23.6,2,0,2,2,0,0,3,0,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Alejandro Garnacho,ar ARG,"MF,FW",20,36,23,2199,24.4,6,2,8,6,0,0,3,0,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Rasmus Højlund,dk DEN,FW,21,32,23,2004,22.3,4,0,4,4,0,0,2,0,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Manuel Ugarte,uy URU,MF,23,29,22,1785,19.8,1,2,3,1,0,0,11,0,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Amad Diallo,ci CIV,"MF,FW",22,26,20,1901,21.1,8,6,14,8,0,0,5,0,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Lisandro Martínez,ar ARG,DF,26,20,20,1751,19.5,2,1,3,2,0,0,7,0,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Harry Maguire,eng ENG,DF,31,27,19,1758,19.5,1,0,1,1,0,0,7,0,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Kobbie Mainoo,eng ENG,MF,19,25,19,1651,18.3,0,0,0,0,0,0,5,0,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Casemiro,br BRA,MF,32,24,18,1494,16.6,1,0,1,1,0,0,5,0,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Joshua Zirkzee,nl NED,"FW,MF",23,32,14,1402,15.6,3,1,4,3,0,0,2,0,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Leny Yoro,fr FRA,DF,18,21,12,1165,12.9,0,0,0,0,0,0,5,0,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Marcus Rashford,eng ENG,"FW,MF",26,15,12,978,10.9,4,1,5,4,0,0,2,0,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Christian Eriksen,dk DEN,MF,32,23,11,1061,11.8,1,2,3,0,1,1,4,0,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Patrick Dorgu,dk DEN,DF,19,12,10,842,9.4,0,0,0,0,0,0,3,1,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Mason Mount,eng ENG,MF,25,17,8,622,6.9,1,0,1,1,0,0,3,0,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Victor Lindelöf,se SWE,DF,30,16,6,704,7.8,0,0,0,0,0,0,1,0,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Altay Bayındır,tr TUR,GK,26,4,4,360,4.0,0,0,0,0,0,0,0,0,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Luke Shaw,eng ENG,DF,29,7,4,349,3.9,0,0,0,0,0,0,1,0,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Harry Amass,eng ENG,DF,17,5,4,346,3.8,0,0,0,0,0,0,0,0,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Jonny Evans,nir NIR,DF,36,7,3,315,3.5,0,0,0,0,0,0,1,0,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Ayden Heaven,eng ENG,DF,17,4,2,170,1.9,0,0,0,0,0,0,1,0,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Tyler Fredricson,eng ENG,DF,19,2,2,165,1.8,0,0,0,0,0,0,0,0,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Tyrell Malacia,nl NED,DF,24,3,2,100,1.1,0,0,0,0,0,0,1,0,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Chidozie Obi-Martin,dk DEN,FW,16,7,1,165,1.8,0,0,0,0,0,0,1,0,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Toby Collyer,eng ENG,MF,20,6,0,179,2.0,0,0,0,0,0,0,0,0,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Antony,br BRA,"DF,MF",24,8,0,141,1.6,0,0,0,0,0,0,0,0,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Scott McTominay,sct SCO,MF,27,2,0,19,0.2,0,0,0,0,0,0,0,0,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Jayce Fitzgerald,eng ENG,MF,17,0,0,,,,,,,,,,,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Jack Fletcher,eng ENG,MF,17,0,0,,,,,,,,,,,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Hubert Graczyk,pl POL,GK,21,0,0,,,,,,,,,,,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Elyh Harrison,eng ENG,GK,18,0,0,,,,,,,,,,,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Tom Heaton,eng ENG,GK,38,0,0,,,,,,,,,,,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Sekou Koné,ml MLI,MF,18,0,0,,,,,,,,,,,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Godwill Kukonki,eng ENG,DF,16,0,0,,,,,,,,,,,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Dermot Mee,nir NIR,GK,21,0,0,,,,,,,,,,,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Jack Moorhouse,eng ENG,MF,18,0,0,,,,,,,,,,,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Ethan Wheatley,eng ENG,FW,18,0,0,,,,,,,,,,,Matches,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Squad Total,,,25.5,38,418,3420,38.0,42,29,71,38,4,4,86,3,,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
Opponent Total,,,26.4,38,418,3420,38.0,52,36,88,49,3,4,71,3,,Manchester Utd,https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats
