Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Unnamed: 33_level_0 Matches,team_name,team_url
Mateus Fernandes,pt POR,MF,20,36,34,2909,32.3,2,4,6,2,0,0,8,0,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Kyle Walker-Peters,eng ENG,DF,27,33,33,2918,32.4,0,2,2,0,0,0,5,0,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Taylor Harwood-Bellis,eng ENG,DF,22,34,32,2825,31.4,1,0,1,1,0,0,9,0,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Aaron Ramsdale,eng ENG,GK,26,30,30,2700,30.0,0,0,0,0,0,0,2,0,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Jan Bednarek,pl POL,DF,28,30,30,2531,28.1,2,0,2,2,0,0,7,0,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Flynn Downes,eng ENG,MF,25,27,25,2151,23.9,1,0,1,1,0,0,12,0,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Joe Aribo,ng NGA,"MF,DF",28,32,21,2013,22.4,3,0,3,3,0,0,1,0,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Tyler Dibling,eng ENG,"FW,MF",18,33,20,1874,20.8,2,0,2,2,0,0,6,0,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Lesley Ugochukwu,fr FRA,MF,20,26,18,1655,18.4,1,1,2,1,0,0,7,0,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Ryan Manning,ie IRL,"DF,MF",28,24,18,1462,16.2,0,1,1,0,0,0,2,0,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Kamaldeen Sulemana,gh GHA,"FW,MF",22,26,17,1402,15.6,1,1,2,1,0,0,2,0,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Jack Stephens,eng ENG,DF,30,19,17,1389,15.4,1,0,1,1,0,0,2,2,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Yukinari Sugawara,jp JPN,"DF,MF",24,30,16,1557,17.3,1,1,2,1,0,0,4,0,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Adam Armstrong,eng ENG,"FW,MF",27,20,15,1248,13.9,2,2,4,2,0,1,4,0,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Cameron Archer,eng ENG,FW,23,35,13,1441,16.0,2,0,2,2,0,1,0,0,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
James Bree,eng ENG,DF,26,17,13,1075,11.9,0,1,1,0,0,0,0,0,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Paul Onuachu,ng NGA,FW,30,25,11,1050,11.7,4,1,5,4,0,0,4,0,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Nathan Wood-Gordon,eng ENG,DF,22,11,9,773,8.6,0,0,0,0,0,0,2,0,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
William Smallbone,ie IRL,MF,24,18,6,690,7.7,1,0,1,1,0,0,1,0,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Welington,br BRA,DF,23,10,6,482,5.4,0,0,0,0,0,0,1,0,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Alex McCarthy,eng ENG,GK,34,5,5,450,5.0,0,0,0,0,0,0,0,0,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Adam Lallana,eng ENG,MF,36,14,5,361,4.0,0,2,2,0,0,0,4,0,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Ben Brereton,cl CHI,FW,25,10,4,449,5.0,0,0,0,0,0,0,1,0,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Ross Stewart,sct SCO,FW,28,12,4,389,4.3,1,0,1,1,0,0,1,0,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Ryan Fraser,sct SCO,"FW,DF",30,8,4,306,3.4,0,0,0,0,0,0,0,1,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Charlie Taylor,eng ENG,DF,30,8,3,356,4.0,0,0,0,0,0,0,1,0,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Joe Lumley,eng ENG,GK,29,3,3,270,3.0,0,0,0,0,0,0,0,0,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Armel Bella Kotchap,de GER,DF,22,4,2,331,3.7,0,0,0,0,0,0,0,0,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Albert Grønbaek,dk DEN,"FW,MF",23,4,2,143,1.6,0,0,0,0,0,0,0,0,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Jay Robinson,eng ENG,"MF,FW",17,4,1,137,1.5,0,0,0,0,0,0,0,0,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Maxwel Cornet,ci CIV,FW,27,2,1,72,0.8,0,0,0,0,0,0,1,0,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
Samuel Edozie,eng ENG,"DF,FW",21,2,0,65,0.7,0,0,0,0,0,0,1,0,Matches,Southampton,https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats
