unnamed:_0_level_0_player,unnamed:_1_level_0_nation,unnamed:_2_level_0_pos,unnamed:_3_level_0_age,unnamed:_4_level_0_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g_plus_a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,unnamed:_33_level_0_matches,team_name,team_url
Emiliano Martínez,ar ARG,GK,31.0,37,37,3194.0,35.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,Matches,Aston Villa,https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats
Morgan Rogers,eng ENG,"FW,MF",22.0,37,37,3114.0,34.6,8.0,10.0,18.0,8.0,0.0,0.0,10.0,0.0,Matches,Aston Villa,https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats
Youri Tielemans,be BEL,MF,27.0,36,35,3026.0,33.6,3.0,7.0,10.0,3.0,0.0,1.0,4.0,0.0,Matches,Aston Villa,https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats
Ezri Konsa,eng ENG,DF,26.0,34,33,2936.0,32.6,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,Matches,Aston Villa,https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats
Ollie Watkins,eng ENG,FW,28.0,38,31,2598.0,28.9,16.0,8.0,24.0,14.0,2.0,2.0,2.0,0.0,Matches,Aston Villa,https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats
Lucas Digne,fr FRA,DF,31.0,32,28,2351.0,26.1,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,Matches,Aston Villa,https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats
John McGinn,sct SCO,"MF,FW",29.0,34,27,2223.0,24.7,1.0,4.0,5.0,1.0,0.0,0.0,7.0,0.0,Matches,Aston Villa,https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats
Matty Cash,pl POL,DF,26.0,27,24,2070.0,23.0,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,Matches,Aston Villa,https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats
Pau Torres,es ESP,DF,27.0,24,23,2020.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Matches,Aston Villa,https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats
Boubacar Kamara,fr FRA,MF,24.0,26,20,1726.0,19.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,Matches,Aston Villa,https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats
Amadou Onana,be BEL,MF,22.0,26,20,1617.0,18.0,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,Matches,Aston Villa,https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats
Jacob Ramsey,eng ENG,"FW,MF",23.0,29,19,1623.0,18.0,1.0,3.0,4.0,1.0,0.0,0.0,4.0,1.0,Matches,Aston Villa,https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats
Leon Bailey,jm JAM,"FW,MF",26.0,24,14,1139.0,12.7,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,Matches,Aston Villa,https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats
Tyrone Mings,eng ENG,DF,31.0,14,12,1120.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Matches,Aston Villa,https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats
Ian Maatsen,nl NED,DF,22.0,29,10,1139.0,12.7,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,Matches,Aston Villa,https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats
Marco Asensio,es ESP,MF,28.0,13,9,743.0,8.3,3.0,1.0,4.0,3.0,0.0,2.0,2.0,0.0,Matches,Aston Villa,https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats
Diego Carlos,br BRA,DF,31.0,10,8,830.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Matches,Aston Villa,https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats
Axel Disasi,fr FRA,DF,26.0,7,5,490.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Matches,Aston Villa,https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats
Lamare Bogarde,nl NED,"DF,MF",20.0,8,5,476.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Matches,Aston Villa,https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats
Andrés García,es ESP,"DF,MF",21.0,7,5,318.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Aston Villa,https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats
Jáder Durán,co COL,FW,20.0,20,4,638.0,7.1,7.0,0.0,7.0,7.0,0.0,0.0,3.0,1.0,Matches,Aston Villa,https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats
Marcus Rashford,eng ENG,FW,26.0,10,4,444.0,4.9,2.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,Matches,Aston Villa,https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats
