unnamed:_0_level_0_player,unnamed:_1_level_0_nation,unnamed:_2_level_0_pos,unnamed:_3_level_0_age,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g_plus_a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,unnamed:_33_level_0_matches,team_name,team_url
Bart Verbruggen,nl NED,GK,21,36,36,3240,36.0,0,1,1,0,0,0,5,0,Matches,Brighton,https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
Jan Paul van Hecke,nl NED,DF,24,34,33,2958,32.9,1,1,2,1,0,0,8,1,Matches,Brighton,https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
Carlos Baleba,cm CMR,MF,20,34,31,2661,29.6,3,1,4,3,0,0,8,1,Matches,Brighton,https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
Kaoru Mitoma,jp JPN,"FW,MF",27,36,28,2603,28.9,10,4,14,10,0,0,1,0,Matches,Brighton,https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
Pervis Estupiñán,ec ECU,DF,26,30,26,2402,26.7,1,1,2,1,0,0,5,0,Matches,Brighton,https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
Danny Welbeck,eng ENG,FW,33,30,24,2115,23.5,10,4,14,9,1,1,5,0,Matches,Brighton,https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
Lewis Dunk,eng ENG,DF,32,25,23,2083,23.1,0,0,0,0,0,0,5,0,Matches,Brighton,https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
João Pedro,br BRA,"FW,MF",22,27,23,1948,21.6,10,6,16,5,5,5,4,1,Matches,Brighton,https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
Yasin Ayari,se SWE,MF,20,34,22,1965,21.8,2,1,3,2,0,0,3,0,Matches,Brighton,https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
Jack Hinshelwood,eng ENG,"MF,DF",19,26,22,1842,20.5,5,2,7,5,0,0,5,0,Matches,Brighton,https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
Yankuba Minteh,gm GAM,"FW,MF",20,32,20,1838,20.4,6,4,10,6,0,0,6,0,Matches,Brighton,https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
Joël Veltman,nl NED,DF,32,21,19,1697,18.9,0,0,0,0,0,0,5,0,Matches,Brighton,https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
