unnamed:_0_level_0_player,unnamed:_1_level_0_nation,unnamed:_2_level_0_pos,unnamed:_3_level_0_age,unnamed:_4_level_0_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g_plus_a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,unnamed:_33_level_0_matches,team_name,team_url
Moisés Caicedo,ec ECU,"MF,DF",22.0,38,38,3351.0,37.2,1.0,2.0,3.0,1.0,0.0,0.0,11.0,0.0,Matches,Chelsea,https://fbref.com/en/squads/cff3d9bb/2024-2025/Chelsea-Stats
Cole Palmer,eng ENG,"MF,FW",22.0,37,36,3191.0,35.5,15.0,8.0,23.0,11.0,4.0,5.0,7.0,0.0,Matches,Chelsea,https://fbref.com/en/squads/cff3d9bb/2024-2025/Chelsea-Stats
Levi Colwill,eng ENG,DF,21.0,35,35,3149.0,35.0,2.0,1.0,3.0,2.0,0.0,0.0,9.0,0.0,Matches,Chelsea,https://fbref.com/en/squads/cff3d9bb/2024-2025/Chelsea-Stats
Marc Cucurella,es ESP,DF,26.0,36,33,2988.0,33.2,5.0,1.0,6.0,5.0,0.0,0.0,10.0,1.0,Matches,Chelsea,https://fbref.com/en/squads/cff3d9bb/2024-2025/Chelsea-Stats
Enzo Fernández,ar ARG,MF,23.0,36,32,2947.0,32.7,6.0,7.0,13.0,6.0,0.0,0.0,8.0,0.0,Matches,Chelsea,https://fbref.com/en/squads/cff3d9bb/2024-2025/Chelsea-Stats
Robert Sánchez,es ESP,GK,26.0,32,32,2880.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,Matches,Chelsea,https://fbref.com/en/squads/cff3d9bb/2024-2025/Chelsea-Stats
Nicolas Jackson,sn SEN,FW,23.0,30,28,2220.0,24.7,10.0,5.0,15.0,10.0,0.0,0.0,7.0,1.0,Matches,Chelsea,https://fbref.com/en/squads/cff3d9bb/2024-2025/Chelsea-Stats
Noni Madueke,eng ENG,FW,22.0,32,27,2033.0,22.6,7.0,3.0,10.0,7.0,0.0,0.0,3.0,0.0,Matches,Chelsea,https://fbref.com/en/squads/cff3d9bb/2024-2025/Chelsea-Stats
Pedro Neto,pt POR,FW,24.0,35,24,2269.0,25.2,4.0,6.0,10.0,4.0,0.0,0.0,8.0,0.0,Matches,Chelsea,https://fbref.com/en/squads/cff3d9bb/2024-2025/Chelsea-Stats
Malo Gusto,fr FRA,DF,21.0,32,19,1862.0,20.7,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,Matches,Chelsea,https://fbref.com/en/squads/cff3d9bb/2024-2025/Chelsea-Stats
Jadon Sancho,eng ENG,FW,24.0,31,19,1764.0,19.6,3.0,4.0,7.0,3.0,0.0,0.0,2.0,0.0,Matches,Chelsea,https://fbref.com/en/squads/cff3d9bb/2024-2025/Chelsea-Stats
Tosin Adarabioyo,eng ENG,DF,26.0,22,15,1409.0,15.7,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,Matches,Chelsea,https://fbref.com/en/squads/cff3d9bb/2024-2025/Chelsea-Stats
Wesley Fofana,fr FRA,DF,23.0,14,14,1172.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,Matches,Chelsea,https://fbref.com/en/squads/cff3d9bb/2024-2025/Chelsea-Stats
