unnamed:_0_level_0_player,unnamed:_1_level_0_nation,unnamed:_2_level_0_pos,unnamed:_3_level_0_age,unnamed:_4_level_0_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g_plus_a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,unnamed:_33_level_0_matches,team_name,team_url
Jamie Vardy,eng ENG,FW,37,35,35,2823,31.4,9,4,13,8,1,2,5,0,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
James Justin,eng ENG,DF,26,36,34,2912,32.4,2,2,4,2,0,0,6,0,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Wout Faes,be BEL,DF,26,34,30,2815,31.3,1,0,1,1,0,0,4,0,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Victor Bernth Kristiansen,dk DEN,DF,21,30,29,2482,27.6,0,1,1,0,0,0,1,0,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Wilfred Ndidi,ng NGA,MF,27,28,28,2324,25.8,0,5,5,0,0,0,8,0,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Mads Hermansen,dk DEN,GK,24,27,27,2385,26.5,0,0,0,0,0,0,1,0,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Bilal El Khannouss,ma MAR,"MF,FW",20,32,27,2182,24.2,2,3,5,2,0,0,4,0,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Boubakary Soumaré,fr FRA,MF,25,31,25,2171,24.1,0,0,0,0,0,0,8,0,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Conor Coady,eng ENG,DF,31,22,19,1714,19.0,1,0,1,1,0,0,3,0,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Jordan Ayew,gh GHA,"FW,MF",32,30,19,1638,18.2,5,0,5,4,1,1,5,0,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Harry Winks,eng ENG,MF,28,22,17,1538,17.1,0,2,2,0,0,0,4,0,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Stephy Mavididi,eng ENG,FW,26,30,16,1615,17.9,4,1,5,4,0,0,2,0,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Jannik Vestergaard,dk DEN,DF,31,18,16,1391,15.5,0,0,0,0,0,0,5,0,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Facundo Buonanotte,ar ARG,"FW,MF",19,31,14,1523,16.9,5,2,7,5,0,0,8,0,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Luke Thomas,eng ENG,DF,23,14,13,1110,12.3,0,0,0,0,0,0,3,0,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Caleb Okoli,it ITA,DF,23,19,12,1125,12.5,1,0,1,1,0,0,4,0,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Oliver Skipp,eng ENG,MF,23,24,10,1129,12.5,0,0,0,0,0,0,8,0,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Jakub Stolarczyk,pl POL,GK,23,10,10,900,10.0,0,0,0,0,0,0,1,0,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Kasey McAteer,ie IRL,FW,22,18,9,852,9.5,1,1,2,1,0,0,3,0,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Bobby De Cordova-Reid,jm JAM,FW,31,23,9,744,8.3,1,2,3,1,0,0,2,0,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Patson Daka,zm ZAM,"FW,MF",25,23,6,736,8.2,1,0,1,1,0,0,0,0,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Abdul Fatawu Issahaku,gh GHA,FW,20,11,6,579,6.4,0,2,2,0,0,0,0,0,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Ricardo Pereira,pt POR,DF,30,10,4,388,4.3,0,0,0,0,0,0,1,0,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Danny Ward,wls WAL,GK,31,2,1,135,1.5,0,0,0,0,0,0,0,0,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Hamza Choudhury,bd BAN,"MF,DF",26,4,1,131,1.5,0,0,0,0,0,0,0,0,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Woyo Coulibaly,ml MLI,DF,25,4,1,109,1.2,0,0,0,0,0,0,1,0,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Jeremy Monga,,"FW,MF",15,7,0,112,1.2,0,0,0,0,0,0,0,0,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Odsonne Édouard,fr FRA,FW,26,4,0,29,0.3,0,0,0,0,0,0,0,0,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Jake Evans,,FW,,4,0,24,0.3,0,0,0,0,0,0,0,0,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Olabade Aluko,,DF,,1,0,2,0.0,0,0,0,0,0,0,0,0,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Will Alves,eng ENG,FW,19,1,0,1,0.0,0,0,0,0,0,0,0,0,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Michael Golding,eng ENG,MF,18,1,0,1,0.0,0,0,0,0,0,0,0,0,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Sammy Braybrooke,eng ENG,MF,20,0,0,,,,,,,,,,,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Thomas Cannon,ie IRL,FW,21,0,0,,,,,,,,,,,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Henry Cartwright,eng ENG,MF,19,0,0,,,,,,,,,,,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Daniel Iversen,dk DEN,GK,27,0,0,,,,,,,,,,,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Benjamin Nelson,eng ENG,DF,20,0,0,,,,,,,,,,,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Thomas Wilson-Brown,eng ENG,DF,19,0,0,,,,,,,,,,,Matches,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Squad Total,,,26.6,38,418,3420,38.0,33,25,58,31,2,3,87,0,,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
Opponent Total,,,26.3,38,418,3420,38.0,77,57,134,74,3,4,58,2,,Leicester City,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
