unnamed:_0_level_0_player,unnamed:_1_level_0_nation,unnamed:_2_level_0_pos,unnamed:_3_level_0_age,unnamed:_4_level_0_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g_plus_a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,unnamed:_33_level_0_matches,team_name,team_url
Mohamed Salah,eg EGY,FW,32.0,38,38,3371.0,37.5,29.0,18.0,47.0,20.0,9.0,9.0,1.0,0.0,Matches,Liverpool,https://fbref.com/en/squads/822bd0ba/2024-2025/Liverpool-Stats
Virgil van Dijk,nl NED,DF,33.0,37,37,3330.0,37.0,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,Matches,Liverpool,https://fbref.com/en/squads/822bd0ba/2024-2025/Liverpool-Stats
Ryan Gravenberch,nl NED,MF,22.0,37,37,3160.0,35.1,0.0,4.0,4.0,0.0,0.0,0.0,6.0,1.0,Matches,Liverpool,https://fbref.com/en/squads/822bd0ba/2024-2025/Liverpool-Stats
Alexis Mac Allister,ar ARG,MF,25.0,35,30,2599.0,28.9,5.0,5.0,10.0,5.0,0.0,0.0,6.0,0.0,Matches,Liverpool,https://fbref.com/en/squads/822bd0ba/2024-2025/Liverpool-Stats
Ibrahima Konaté,fr FRA,DF,25.0,31,30,2560.0,28.4,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,Matches,Liverpool,https://fbref.com/en/squads/822bd0ba/2024-2025/Liverpool-Stats
Dominik Szoboszlai,hu HUN,MF,23.0,36,29,2491.0,27.7,6.0,6.0,12.0,6.0,0.0,0.0,6.0,0.0,Matches,Liverpool,https://fbref.com/en/squads/822bd0ba/2024-2025/Liverpool-Stats
Andrew Robertson,sct SCO,DF,30.0,33,29,2482.0,27.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,Matches,Liverpool,https://fbref.com/en/squads/822bd0ba/2024-2025/Liverpool-Stats
Alisson,br BRA,GK,31.0,28,28,2508.0,27.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Liverpool,https://fbref.com/en/squads/822bd0ba/2024-2025/Liverpool-Stats
Luis Díaz,co COL,FW,27.0,36,28,2399.0,26.7,13.0,5.0,18.0,13.0,0.0,0.0,2.0,0.0,Matches,Liverpool,https://fbref.com/en/squads/822bd0ba/2024-2025/Liverpool-Stats
Trent Alexander-Arnold,eng ENG,DF,25.0,33,28,2365.0,26.3,3.0,6.0,9.0,3.0,0.0,0.0,5.0,0.0,Matches,Liverpool,https://fbref.com/en/squads/822bd0ba/2024-2025/Liverpool-Stats
