unnamed:_0_level_0_player,unnamed:_1_level_0_nation,unnamed:_2_level_0_pos,unnamed:_3_level_0_age,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g_plus_a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,unnamed:_33_level_0_matches,team_name,team_url
Max Kilman,eng ENG,DF,27.0,38,38,3348.0,37.2,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,Matches,West Ham,https://fbref.com/en/squads/7c21e445/2024-2025/West-Ham-United-Stats
Aaron Wan-Bissaka,cd COD,DF,26.0,36,35,3154.0,35.0,2.0,5.0,7.0,2.0,0.0,0.0,1.0,0.0,Matches,West Ham,https://fbref.com/en/squads/7c21e445/2024-2025/West-Ham-United-Stats
Jarrod Bowen,eng ENG,"FW,MF",27.0,34,34,2973.0,33.0,13.0,8.0,21.0,12.0,1.0,1.0,1.0,0.0,Matches,West Ham,https://fbref.com/en/squads/7c21e445/2024-2025/West-Ham-United-Stats
Mohammed Kudus,gh GHA,"FW,MF",23.0,32,31,2590.0,28.8,5.0,3.0,8.0,5.0,0.0,0.0,2.0,1.0,Matches,West Ham,https://fbref.com/en/squads/7c21e445/2024-2025/West-Ham-United-Stats
Tomáš Souček,cz CZE,MF,29.0,35,30,2567.0,28.5,9.0,1.0,10.0,9.0,0.0,0.0,8.0,0.0,Matches,West Ham,https://fbref.com/en/squads/7c21e445/2024-2025/West-Ham-United-Stats
Lucas Paquetá,br BRA,"MF,FW",26.0,33,27,2380.0,26.4,4.0,0.0,4.0,2.0,2.0,2.0,10.0,0.0,Matches,West Ham,https://fbref.com/en/squads/7c21e445/2024-2025/West-Ham-United-Stats
Emerson Palmieri,it ITA,DF,29.0,31,26,2113.0,23.5,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,Matches,West Ham,https://fbref.com/en/squads/7c21e445/2024-2025/West-Ham-United-Stats
Alphonse Areola,fr FRA,GK,31.0,26,25,2260.0,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,West Ham,https://fbref.com/en/squads/7c21e445/2024-2025/West-Ham-United-Stats
Konstantinos Mavropanos,gr GRE,DF,26.0,33,21,2045.0,22.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,Matches,West Ham,https://fbref.com/en/squads/7c21e445/2024-2025/West-Ham-United-Stats
Jean-Clair Todibo,fr FRA,DF,24.0,27,20,1825.0,20.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Matches,West Ham,https://fbref.com/en/squads/7c21e445/2024-2025/West-Ham-United-Stats
Edson Álvarez,mx MEX,MF,26.0,28,20,1772.0,19.7,0.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,Matches,West Ham,https://fbref.com/en/squads/7c21e445/2024-2025/West-Ham-United-Stats
Guido Rodríguez,ar ARG,MF,30.0,23,16,1149.0,12.8,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,Matches,West Ham,https://fbref.com/en/squads/7c21e445/2024-2025/West-Ham-United-Stats
Carlos Soler,es ESP,"MF,FW",27.0,31,14,1409.0,15.7,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,Matches,West Ham,https://fbref.com/en/squads/7c21e445/2024-2025/West-Ham-United-Stats
Łukasz Fabiański,pl POL,GK,39.0,14,13,1160.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Matches,West Ham,https://fbref.com/en/squads/7c21e445/2024-2025/West-Ham-United-Stats
James Ward-Prowse,eng ENG,MF,29.0,15,12,1039.0,11.5,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,Matches,West Ham,https://fbref.com/en/squads/7c21e445/2024-2025/West-Ham-United-Stats
Vladimír Coufal,cz CZE,DF,31.0,22,11,1067.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,Matches,West Ham,https://fbref.com/en/squads/7c21e445/2024-2025/West-Ham-United-Stats
